year,article.count
2021,103906
2020,84425
2019,79703
2018,81583
2017,76285
2016,72961
2015,70269
2014,69884
2013,68395
2012,65411
2011,59153
2010,53424
2009,48272
2008,46153
2007,41335
2006,39135
2005,36090
2004,35558
2003,33521
2002,30300
2001,29141
2000,27663
1999,26241
1998,25098
1997,25278
1996,24885
1995,22209
1994,21393
1993,20503
1992,19842
1991,19026
1990,19426
1989,18499
1988,17495
1987,15945
1986,15861
1985,15396
1984,14974
1983,14475
1982,14125
1981,13488
1980,12985
1979,12963
1978,12357
1977,11216
1976,10873
1975,10278
1974,10109
1973,9436
1972,8284
1971,7872
1970,7163
1969,6495
1968,6778
1967,5986
1966,5533
1965,5463
1964,4604
1963,3758
1962,3409
1961,3264
1960,2604
1959,2611
1958,2445
1957,2122
1956,2115
1955,2080
1954,2197
1953,2057
1952,1965
1951,1831
1950,1769
1949,1385
1948,1186
1947,1051
1946,1136
1945,793
1944,698
1943,756